"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,39,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",15
2020,39,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",38
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",34
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",7
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",4
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",41
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",38
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",8
2020,42,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,42,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",31
2020,42,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",54
2020,42,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",12
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",5
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",8
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",67
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",106
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",33
2020,44,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",12
2020,44,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",7
2020,44,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",134
2020,44,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",203
2020,44,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",24
2020,45,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",27
2020,45,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",21
2020,45,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",95
2020,45,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",157
2020,45,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",26
